"ResFreq [GHz]","Freq [GHz]","ang_deg(Z(1,1)) []","mag(Z(1,1)) []"
280,150.625,1.50622072568187,5.29633659539847
280,151.25,1.5069724426432,5.38277899078096
280,151.875,1.50769818596936,5.46921523298536
280,152.5,1.50839919214174,5.55565112414127
280,153.125,1.5090766175316,5.64209248203074
280,153.75,1.50973154468982,5.72854514156949
280,154.375,1.51036498805207,5.81501495637575
280,155,1.51097789912168,5.90150780042033
280,155.625,1.51157117118489,5.98802956975254
280,156.25,1.51214564360692,6.07458618429728
280,156.875,1.51270210575164,6.16118358971977
280,157.5,1.51324130056251,6.24782775935459
280,158.125,1.51376392783839,6.33452469619685
280,158.75,1.51427064723404,6.42128043495334
280,159.375,1.5147620810118,6.50810104415236
280,160,1.51523881656804,6.59499262831117
280,160.625,1.51570140875554,6.68196133016033
